id	text	buttons	intents	sounds	image
153	Согласен про стратегический подход. Но все равно 4 месяца — это очень долго. Может быть тебе взять консультацию у карьерного аналитика?	[('Хм... Подумаю над этим', 158, True), ('4 месяца - это не долго', 159, True)]			
154	Какие у тебя цели в жизни? Чего хочешь достичь через 10 лет?	[('Хочу открыть новый бизнес. А ты?', 160, True), ('Хочу стать топ-профи в сфере. А ты?', 160, True), ('Не знаааю. Это так далеко...', 161, True)]			
155	Мне важно, чтобы моя девушка имела свое дело и много зарабатывала	[('Задать вопрос', 162, True), ('Промолчать', 163, True)]			
156	Вы общались еще 20 минут. Было сложно найти точки соприкосновения, так как у вас разные подходы к построению карьеры.	[('Выбрать Марка спутником жизни', 176, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Марком', 106, True)]			
157	Вы общались еще 20 минут. Тебе казалось, что вы нашли общий язык и наладили общение с Марком. Но его взгляды на карьеру сильно отличаются от твоих, и его это сильно напрягало.	[('Выбрать Марка спутником жизни', 176, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Марком', 106, True)]			
158	Вы смогли найти общий язык и общались еще 2 часа. У вас разные подходы к построению карьеры, но, кажется, что вы оба принимаете точки зрения друг друга. После свидания он довез тебя до дома. По пути в машине оказалось, что вы любите одну и ту же музыку.	[('Выбрать Марка спутником жизни', 176, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Марком', 106, True)]			
159	Вы общались еще 20 минут. Было сложно найти точки соприкосновения, так как у вас разные подходы к построению карьеры.	[('Выбрать Марка спутником жизни', 176, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Марком', 106, True)]			
160	Я планирую развить свой бизнес и выйти на международный рынок. Еще хорошо бы успеть семью построить))	[('Круто)', 163, True)]			
161	Не понимаю, как так можно жить. Для меня важно все планировать. Мне так спокойнее	[('Ну вот так)', 164, True)]			
162	Выбери, какой вопрос задать:	[('Какие у тебя цели в жизни?', 160, True), ('Что еще важно в девушке?', 165, True)]			
163	Что для тебя самое главное в семье?	[('Быть за мужем, как за скалой', 166, True), ('Равенство в паре', 167, True)]			
164	Задай вопрос:	[('Что для тебя главное в семье?', 168, True)]			
165	Для меня важна женственность, мягкость, приверженность здоровому образу жизни	[('Узнать, что будет дальше', 172, True)]			
166	Задай вопрос:	[('А что для тебя важно?', 169, True)]			
167	Задай вопрос:	[('А что для тебя важно?', 170, True)]			
168	Для меня важно быть лидером в семье. Чтобы на мне были все основные решения. Я за традиционный патриархат) А для тебя?	[('Быть за мужем, как за скалой', 171, True), ('Равенство в паре', 175, True)]			
169	Для меня важно быть лидером в семье. Чтобы на мне были все основные решения. Я за традиционный патриархат)	[('Узнать, что будет дальше', 173, True)]			
170	Для меня важно быть лидером в семье. Чтобы на мне были все основные решения. Я за традиционный патриархат)	[('Узнать, что будет дальше', 174, True)]			
171	Вы еще общались 20 минут. У вас одинаковое видение семьи. Однако Марку сложно принять твой подход к построению карьеры. После свидания он довез вас до дома. А после вы еще немного попереписывались.	[('Выбрать Марка спутником жизни', 176, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Марком', 106, True)]			
172	Вы общались еще 20 минут. Было сложно найти точки соприкосновения, так как ваши взгляды различались на построение карьеры, семьи, на то, каким должен быть идеальный партнер. Ты чувствовала, что Марк не хотел продолжать с тобой общение.	[('Выбрать Марка спутником жизни', 176, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Марком', 106, True)]			
173	Вы общались еще 2 часа и не могли остановиться. Вы поняли, что у вас одинаковое представление о семье, карьерном пути и в целом взгляды на жизнь. После свидания Марк довез тебя до дома. По пути в машине оказалось, что вы любите одну и ту же музыку.	[('Выбрать Марка спутником жизни', 177, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Марком', 106, True)]			
174	Вы общались еще 20 минут. У вас схожие карьерные амбиции, но представления о семье и о том, каким должен быть партнер совсем разные. После свидания он довез тебя до дома. А после вы еще немного попереписывались.	[('Выбрать Марка спутником жизни', 176, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Марком', 106, True)]			
175	Вы общались еще 20 минут. Было сложно найти точки соприкосновения, так как ваши взгляды различались на построение карьеры, семьи, на то, каким должен быть идеальный партнер.	[('Выбрать Марка спутником жизни', 176, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Марком', 106, True)]			
176	К сожалению, Марк еще не готов к отношениям с тобой.	[('Попробовать еще раз с Марком', 106, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
177	Поздравляем, Марк тоже выбрал тебя!	[('Уже 2 месяца в отношениях...', 178, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
178	Вы в отношениях уже 2 месяца. Вы строите общие планы на семью. Поддерживаете друг друга в профессиональных начинаниях. Единственное, что тебя обижает: Марк хочет видеть рядом свой идеальный образ девушки, поэтому часто тебя критикует.	[('Оставаться в отношениях с Марком', 182, True), ('Расстаться с Марком', 179, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/04c38ed3-779f-43bc-9b38-8bff19760a05.opus'>	
179	Узнать характеристику героя?	[('Да', 180, True), ('Нет', 181, True)]			
180	Марк - достигатор-трудоголик с избегающим типом привязанности. Его редко хвалили в детстве и старательно взращивали самостоятельность фразами: 'Ты уже взрослый, должен сделать это сам'. А также оочень заботились о его достижениях 'Ты должен стремиться быть лучше всех' и 'Отдых нужно заслужить'. Такие люди часто испытывают трудности с доверительными отношениями. Они эмоционально не вкладываются в них и часто избегают близости, используя различные предлоги, например, у них много дел или работы.	[('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
181	Выбери действие:	[('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
182	Узнать характеристику героя?	[('Да', 183, True), ('Нет', 184, True)]			
183	Марк — достигатор-трудоголик с избегающим типом привязанности. Его редко хвалили в детстве и старательно взращивали самостоятельность фразами: 'Ты уже взрослый, должен сделать это сам'. А также оочень заботились о его достижениях 'Ты должен стремиться быть лучше всех' и 'Отдых нужно заслужить'. Такие люди часто испытывают трудности с доверительными отношениями. Они эмоционально не вкладываются в них и часто избегают близости, используя различные предлоги, например, у них много дел или работы.	[('Попробовать еще раз с Марком', 106, True), ('Выйти с сайта знакомств', 0, True)]			
184	Выбери действие:	[('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
185	Привет, пошли на свидание?)	[('Давай сначала тут пообщаемся)', 186, True), ('Привет, пошли', 187, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/ceab53b7-64ce-4469-b3b9-b271d1928815.opus'>	
186	Выбери действие:	[('Задать вопрос', 188, True), ('Ждать ответ', 189, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/b1c4b96d-a35f-4f4b-a563-82649d22a1ec.opus'>	
187	Я за тобой заеду в субботу в 20, нормально?	[('Давай пораньше. И я сама доеду', 189, True), ('Да, отлично', 190, True)]			
188	Задай вопрос:	[('Чем ты увлекаешься?', 189, True), ('Как ты на это смотришь?', 189, True)]			
189	Матвей предпочел прекратить общение с тобой. Не волнуйся, причина не в тебе, Матвей не так уж прост...	[('Попробовать еще раз с Матвеем', 185, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
190	Какой адрес?	[('Улица Пушкина, дом Колотушкина', 191, True)]			
191	Поздравляем, ты на свидании!	[('Начать свидание', 192, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
192	Задай вопрос:	[('Привет) Ты где? Уже 20 ч', 193, True)]			
193	Минут через 15 буду, жди	[('Хорошо', 194, True)]			
194	Машина подъехала	[('Сесть в машину', 195, True)]			
195	Привет-привет	[('Приветик', 196, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/8d08046c-4c96-4b5d-bd13-490bbe85fdfc.opus'>	
196	Выбери действие:	[('Задать вопрос', 197, True), ('Промолчать', 204, True)]			
197	Задай вопрос:	[('Давай поедем в кафе У Любочки?', 198, True), ('А куда мы едем?', 199, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/dcaba923-d62f-4d34-b545-8f1a980cc3a3.opus'>	
198	Нет, мы едем в мое любимое место	[('Какое?', 200, True), ('Ладно', 202, True)]			
199	Это мое любимое место	[('Какое?', 200, True), ('Ладно', 202, True)]			
200	Узнаешь	[('Класс) Люблю сюрпризы!', 202, True), ('Мне не очень нравятся сюрпризы', 201, True)]			
201	Ок, можешь выходить из машины, если что-то не устраивает	[('Выйти из машины', 203, True), ('Остаться в машине', 202, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/da9d8759-769f-4ac9-9255-ff70d0070aa8.opus'>	
202	Вот и славно	[('Угу', 204, True)]			
203	Выбери действие:	[('Попробовать еще раз с Матвеем', 185, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
204	Вы доехали до места.	[('Зайти в кафе', 205, True)]			
205	Ваше свидание прошло неплохо. Ресторан был немного дороговат для тебя, поэтому ты заказала только десерт и чай. Матвей выбрал стейк из лосося, бутылку вина и сырную тарелку. Вы разговаривали на поверхностные темы. О себе Матвей не рассказывал, даже когда ты спрашивала.	[('Узнать, что было дальше', 206, True)]			
206	В один момент Матвею позвонил друг, и он отошел...	[('Узнать, что было дальше', 207, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/06a7712a-6542-4aff-bee2-4c2536d4fdf5.opus'>	
207	К сожалению, больше он не вернулся. Через 20 минут ожидания официант принес счет и попросил тебя оплатить заказанные блюда и вино. Ты обнаружила, что Матвей удалил ваш мэтч на сайте знакомств.	[('И чем закончилось свидание?', 208, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
208	Ты смогла оплатить счет, но до следующей зарплаты тебе пришлось ограничивать себя в своих покупках. Позже ты узнала, что имя Матвей было не настоящим, а этот молодой человек часто обманывал других девушек в ресторанах.	[('Мдаа уж...', 209, True)]			
209	Узнать характеристику героя?	[('Да', 210, True), ('Нет', 211, True)]			
210	Матвей — мошенник. На сайтах знакомств встречаются люди, которые имеют нечистые намерения. Существует множество схем мошенничества, которые используют как женщины, так и мужчины. Поэтому всегда нужно осторожно подходить к выбору партнера для общения, узнавать человека лучше и только после этого встречаться в жизни. Важно подбирать общественные места для безопасности. И, конечно, ни в коем случае не переводить деньги незнакомым людям.	[('Попробовать еще раз с Матвеем', 185, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
211	Выбери действие:	[('Попробовать еще раз с Матвеем', 185, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
212	Привет! Великолепно выглядишь)	[('Привет, спасибо!', 213, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/ceab53b7-64ce-4469-b3b9-b271d1928815.opus'>	
213	С какой целью здесь?	[('Интересно поговорить. А ты?', 214, True), ('Серьезные отношения. А ты?', 215, True)]			
214	Встретить свою судьбу. Что в твоем понимании 'интересный человек'?	[('Умный, с необычной профессией', 216, True)]			
215	Я тоже. Очень хочу встретить свою любовь	[('Что для тебя важно в девушке?', 217, True)]			
216	Похоже я тот самый интересный человек. Работаю помощником режиссера и имею много увлечений)	[('Открыть новое сообщение', 218, True)]			
217	Ум, Романтичность, доброта, заботливость. Желание создать семью в будущем	[('Похоже на меня)', 219, True), ('Ой, сейчас важнее карьера', 220, True)]			
218	Какими еще качествами должен обладать человек, с которым ты захочешь построить серьезные отношения?	[('Заработок, самодостаточность', 221, True), ('Доброта, забота, внимание', 222, True)]			
219	Выбери действие:	[('Пригласить на свидание', 224, True), ('Ждать ответ', 223, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/b1c4b96d-a35f-4f4b-a563-82649d22a1ec.opus'>	
220	Странно, я считаю, что это можно совмещать	[('Ну..Я не смогу', 228, True)]			
221	Ты не стала бы встречаться с человеком, с которым очень весело, интересно и душевно, но который мало зарабатывает?	[('Нет, это очень важно для меня', 228, True), ('Может и стала бы)', 225, True)]			
222	Это про меня) Может встретимся на выходных, познакомимся поближе?	[('Давай) Я свободна в субботу', 226, True)]			
223	Может встретимся на выходных, познакомимся поближе?	[('Давай) Я свободна в субботу', 226, True)]			
224	Предложить место встречи.	[('А давай сходим на стэндап?', 227, True)]			
225	Хорошо. Понял твою позицию	[('Пригласить на свидание', 224, True), ('Ждать ответ', 228, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/b1c4b96d-a35f-4f4b-a563-82649d22a1ec.opus'>	
226	Супер! Тогда может сходим на стэндап?	[('А он смешной?', 230, True), ('Отличная идея! Обожаю стендапы', 231, True)]			
227	Классная идея! Но я много работаю, совсем нет свободного времени на этих выходных	[('А когда есть свободное время?', 232, True), ('Нельзя выделить пару часов?', 233, True)]			
228	Илья посчитал, что у вас слишком разные взгляды и решил прекратить общение.	[('Попробовать еще раз с Ильей', 212, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
229	Предложить место встречи.	[('А давай сходим на стэндап?', 234, True)]			
230	Будет мой любимый комик Куклюшкин. Давай в понедельник часов в 19 на площади Смеха встретимся?	[('Хорошо! А потом куда?', 235, True), ('Хорошо, договорились!', 238, True)]			
231	Тогда я возьму билеты на комика Куклюшкина. Давай в понедельник часов в 19 на площади Смеха встретимся?	[('Хорошо, до встречи', 238, True)]			
232	Через выходные смогу выделить свободное время. Возьму новые билеты на комика Куклюшкина. Давай в понедельник часов в 19 на площади Смеха встретимся?	[('Хорошо, давай)', 238, True)]			
233	К сожалению, нет	[('Завершить диалог', 239, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
234	Классная идея! Но я много работаю, совсем нет свободного времени на этих выходных	[('А когда есть свободное время?', 236, True), ('Нельзя выделить пару часов?', 237, True)]			
235	После стэндапа тогда давай сходим выпьем кофе	[('Нет, я не люблю кофе(', 228, True), ('Да, давай', 238, True)]			
236	Через выходные смогу выделить свободное время. Возьму новые билеты на комика Куклюшкина. Давай в понедельник часов в 19 на площади Смеха встретимся?	[('Хорошо, договорились)', 238, True)]			
237	К сожалению, нет	[('А когда есть свободное время?', 240, True), ('Завершить диалог', 239, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
238	Тогда до встречи!	[('Буду ждать)', 241, True)]			
239	Ты решила завершить диалог.	[('Попробовать еще раз с Ильей', 212, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
240	Даже не знаю, не могу так сказать. Пока, наверное, не готов к встрече	[('Ждать ответ', 228, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/b1c4b96d-a35f-4f4b-a563-82649d22a1ec.opus'>	
241	Поздравляем, ты на свидании!	[('Начать свидание', 242, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
242	Привет! Рад тебя видеть!	[('Привет! И я тебя', 243, True)]			
243	Как прошла твоя неделя?	[('В отпуске, виделась с друзьями', 244, True)]			
244	Мм, понятно. А ты близка с ними?	[('Да, мы очень близки', 245, True), ('Не сказала бы', 246, True)]			
245	Ясно. Интересно, сколько близких людей может быть у одного человека и хватило бы вообще места мне...	[('Я смогу быть близка с любимым', 247, True), ('Слишком тревожные мысли', 248, True)]			
246	Понятно. Как бы и любимый человек не оказался 'просто приятным'. Тут должна же быть особая связь...	[('Я смогу быть близка с любимым', 247, True), ('Слишком тревожные мысли', 248, True)]			
247	Ты сказала, что пора идти, ведь осталось всего 5 минут до стэндапа. После него вы отправились пить кофе в кафе 'Зеленое'.	[('Продолжить свидание', 255, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/da6e73c3-6f2e-4dad-8331-ed61300d5263.opus'>	
248	Ты сказала, что пора идти, ведь осталось всего 5 минут до стэндапа. После него вы отправились пить кофе в кафе 'Зеленое'.	[('Продолжить свидание', 259, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/da6e73c3-6f2e-4dad-8331-ed61300d5263.opus'>	
249	А я боялся, что тебе не понравится	[('Да нет, правда хорошо прошло)', 253, True)]			
250	А я боялся, что тебе не понравится	[('Да нет, правда хорошо прошло)', 254, True)]			
251	Точно! Главное, что мы провели время вместе	[('Да)', 254, True)]			
252	Понятно. Мне понравилось, необязательно было так резко отвечать	[('Не хотела задеть...', 253, True)]			
253	Уже полчаса гуляем, приятно с тобой. Побудем еще вместе?	[('Давай)', 257, True), ('Мне уже надо идти(', 258, True)]			
254	Уже полчаса гуляем. Приятно, конечно, но я устал, давай будем закругляться)	[('Мм..', 256, True)]			
255	Какое классное было выступление! Тебе понравилось?	[('Я в восторге!', 249, True), ('Ожидала большего, но ничего)', 251, True)]			
256	Тебя это удивило, но ты промолчала.	[('Узнать результат свидания', 260, True)]			
257	Но я скоро пойду, дела есть)	[('Узнать результат свидания', 261, True)]			
258	Окей, у меня тоже дела есть)	[('Узнать результат свидания', 262, True)]			
259	Какое классное было выступление! Тебе понравилось?	[('Я в восторге!', 250, True), ('Ожидала большего', 252, True)]			
260	После этого свидания вы общались с Ильей по переписке пару недель. Иногда его было сложно понять. То он болтает без умолку, заботится и присылает цветочки, то вообще перестает выходить на связь и ревнует к друзьям. Новое свидание пока так и не удалось назначить - у Ильи было много дел...	[('Выбрать Илью спутником жизни', 263, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Ильей', 212, True)]			
261	После этого свидания вы общались с Ильей по переписке пару недель. Иногда его было сложно понять. То он болтает без умолку, заботится и присылает цветочки, то вообще перестает выходить на связь и ревнует к друзьям. У вас было еще одно свидание. Это было весело!	[('Выбрать Илью спутником жизни', 264, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Ильей', 212, True)]			
262	После этого свидания вы общались с Ильей по переписке пару недель. Иногда его было сложно понять. То он болтает без умолку, заботится и присылает цветочки, то вообще перестает выходить на связь и ревнует к друзьям. У вас было еще одно свидание. Это было неплохо, но Илья постоянно всё контролировал и вел себя тревожно.	[('Выбрать Илью спутником жизни', 263, True), ('Перейти к другим анкетам', 7, True), ('Попробовать еще раз с Ильей', 212, True)]			
263	К сожалению, Илья не готов к отношениям с тобой.	[('Попробовать еще раз с Ильей', 212, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
264	Поздравляем, Илья тоже выбрал тебя.	[('Уже 2 месяца в отношениях...', 265, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
265	Вы в отношениях уже 2 месяца. Илья — умный, общительный и заботливый. Иногда его сильно заносит. Он злится, нервничает, пытается доминировать. Ему тяжело держать свои эмоции в стабильности. Он бывает и ранимым, словно ребенок, когда ты холодна к нему или находишься не в ресурсе. Вы стараетесь идти к компромиссам, а он собирается пойти к психологу.	[('Оставаться в отношениях', 266, True), ('Расстаться с Ильей', 267, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/04c38ed3-779f-43bc-9b38-8bff19760a05.opus'>	
266	Узнать характеристику героя?	[('Да', 268, True), ('Нет', 270, True)]			
267	Узнать характеристику героя?	[('Да', 269, True), ('Нет', 271, True)]			
268	У Ильи тревожно-избегающий (дезорганизованный) тип привязанности. Он вроде хочет отношений, но боится быть отвергнутым. Родители часто оставляли его одного, в отношениях с ними ему было плохо. Именно поэтому его постоянно штормит эмоционально. Если Илья осознает, что партнер сильнее контролирует ситуацию, он пытается это исправить. Ему важно понимать, что происходит, хочется всегда знать, что чувствует девушка. Илья хочет работать над собой и он идет к психологу.	[('Попробовать еще раз с Ильей', 212, True), ('Выйти с сайта знакомств', 0, True)]			
269	У Ильи тревожно-избегающий (дезорганизованный) тип привязанности. Он вроде хочет отношений, но боится быть отвергнутым. Родители часто оставляли его одного, в отношениях с ними ему было плохо. Именно поэтому его постоянно штормит эмоционально. Если Илья осознает, что партнер сильнее контролирует ситуацию, он пытается это исправить. Ему важно понимать, что происходит, хочется всегда знать, что чувствует девушка. Илья хочет работать над собой и он идет к психологу.	[('Попробовать еще раз с Ильей', 212, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
270	Выбери действие:	[('Попробовать еще раз с Ильей', 212, True), ('Выйти с сайта знакомств', 0, True)]			
271	Выбери действие:	[('Попробовать еще раз с Ильей', 212, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
272	Привет, ты очень милая) Как твои дела?	[('Хорошо, работаю. А твои?', 273, True), ('К концу недели очень устала', 274, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/ceab53b7-64ce-4469-b3b9-b271d1928815.opus'>	
273	Тоже хорошо! Сегодня ездил с мамой выбирать костюм на свадьбу друга	[('Задать вопрос', 275, True), ('Ждать ответ', 276, True)]			
274	Бедняжка. Давай встретимся, сходим в кино, потом поговорим. Постараюсь помочь тебе	[('Мне не нужна помощь. Спасибо', 277, True), ('Давай', 278, True)]			
275	Задай вопрос:	[('Удалось выбрать подходящий?', 281, True)]			
276	Ты куда-то пропала?(	[('Да нет, просто работала', 284, True), ('Я не отвечала 30 мин...', 279, True)]			
277	Ладно( Может тогда просто вечером погуляем?	[('Лучше побуду одна на выходных', 279, True), ('Где бы ты хотел встретиться?', 280, True)]			
278	Поздравляем, ты на свидании!	[('Начать свидание', 292, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/4189fbda-cb40-4414-bf1f-46c810d49e3c.opus'>	
279	Михаил посчитал, что у вас слишком разные взгляды и решил прекратить общение.	[('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/85122b02-8fe7-41e8-948c-b22e7808e8b7.opus'>	
280	Люблю смотреть фильмы. Недавно вышел новый. Можем сходить вместе в кинотеатр	[('Не люблю кино( Думаю, нам не по пути', 282, True), ('Классная идея! Давай)', 278, True)]			
281	Да! Мамин совет всегда кстати. Буду самым красивым на свадьбе)	[('Ждать ответ', 276, True), ('Мамин... Это странно для меня', 279, True), ('Пригласишь меня спутницей?', 283, True)]			
282	Выбери действие:	[('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
283	Ты серьезно настроена! Мне это нравится. Но давай сначала поближе познакомимся. Встретимся, погуляем?	[('Лучше побуду одна на выходных', 279, True), ('Где бы ты хотел встретиться?', 280, True)]			
284	А, я уж подумал, что дело во мне. Какие планы на выходные?	[('Планирую пойти на выставку', 285, True), ('А есть предложения?)', 286, True), ('Смотреть сериал и есть пиццу', 279, True)]			
285	Выбери действие:	[('Ждать ответ', 287, True), ('Пригласить на свидание', 290, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/b1c4b96d-a35f-4f4b-a563-82649d22a1ec.opus'>	
286	Встретиться вечером, погулять, пообщаться	[('Лучше побуду одна на выходных', 279, True), ('Где бы ты хотел встретиться?', 280, True)]			
287	А что за выставка?	[('Современная. Может сходим вместе?', 288, True)]			
288	Я не люблю ходить на выставки. Но если вдруг вступим в отношения, конечно, готов к компромиссам. Могу ходить с тобой, постараюсь заинтересоваться	[('Завершить диалог', 289, True), ('Задать вопрос', 291, True)]			
289	Выбери действие:	[('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True), ('Выйти с сайта знакомств', 0, True)]			
290	Пригласи на свидание:	[('Современная. Может сходим вместе?', 288, True)]			
291	Задай вопрос:	[('Что любишь делать в свободное время?', 280, True)]			
292	Задай вопрос:	[('Привет) Я тут. Ты скоро?', 293, True)]			
293	Обернись!	[('Обернуться', 294, True)]			
294	Михаил вручает большой букет твоих любимых цветов.	[('Вау, это мои любимые!', 295, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/01b3d672-6185-4e6e-8ea8-2d6741a87a62.opus'>	
295	Я почитал твои соц сети, ты рассказывала об этом 4 года назад. Рад, что тебе понравилось!	[('Классно, что подумал об этом)', 296, True), ('Оу, надеюсь, ты не сталкер', 297, True)]			
296	Да, я хочу заботиться о близких мне людях. Давай помогу тебе подняться в кинозал, тут высокая ступенька	[('Спасибо, мне приятно)', 323, True)]			
297	Чего? Я просто интересуюсь человеком, с которым иду гулять и хочу что-то построить	[('Вау! Ты веришь в наше будущее?', 298, True), ('Пролистать 4 года... Это странно', 299, True)]			
298	Ну конечно!	[('Мило) Ну что, пойдем в кино?', 301, True)]			
299	Меня расстраивает, что ты как-то несерьезно к этому относишься. Я старался тебе угодить вообще-то	[('Окей, спасибо', 300, True)]			
300	Вы сходили в кино, но каждый раз знаки внимания Михаила казались тебе слишком навязчивыми и "одержимыми". А его смущали твои ответы, ему казалось, что ты обесцениваешь его. После этого свидания вы больше не общались.	[('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
301	Вы смотрите фильм. Твоя рука лежит на подлокотнике. И вдруг Михаил опускает на нее свою...	[('Убрать руку', 302, True), ('Оставить руку', 303, True)]		<speaker audio='dialogs-upload/dac67646-ec75-40ac-8893-220733574ab8/06a7712a-6542-4aff-bee2-4c2536d4fdf5.opus'>	
302	Я же сказал, что надеюсь на будущее. В чем проблема? Ты так холодна ко мне. Меня это ранит	[('Молча встать и уйти', 317, True), ('Остаться', 318, True)]			
303	Михаил посмотрел на тебя и мило улыбнулся.	[('Узнать, что будет дальше', 304, True)]			
304	Ну как тебе сеанс? Давай сходим посидим в кафе и обсудим фильм. Я куплю тебе кофе!	[('Хороший фильм. Пойдем)', 305, True), ('Интересный фильм. Но мне надо домой(', 306, True)]			
305	Вы просидели до самой ночи, общаясь обо всем на свете. Михаил часто стремился с чем-то помочь или поддержать.	[('Выбрать спутником жизни', 307, True), ('Попробовать еще раз с Михаилом', 272, True), ('Перейти к другим анкетам', 7, True)]			
306	Ну пожалуйста! Так не хочется расставаться	[('Окей', 315, True), ('Мне правда надо идти(', 316, True)]			
